Experiment ID,Episode,Execution Time (seconds),Travel Time Cost (seconds)
400-5,400,1.1335780620574951,3361.736105610561
400-6,400,1.1070168018341064,3361.736105610561
400-12,400,1.642806053161621,3563.2828806584357
400-13,400,1.2798893451690674,3924.121854185418
400-14,400,1.3010718822479248,3361.736105610561
400-16,400,1.2293338775634766,3398.5151335133514
400-18,400,1.1190998554229736,3361.736105610561
400-19,400,1.225750207901001,3762.1941333333334
400-22,400,1.1502728462219238,3361.736105610561
400-24,400,1.2253210544586182,3924.121854185418
400-25,400,1.2363851070404053,5190.5877810699585
400-27,400,1.3430089950561523,5771.617859917843
400-5,400,1.1335780620574951,3361.736105610561
400-6,400,1.1070168018341064,3361.736105610561
400-13,400,1.2798893451690674,3924.121854185418
400-14,400,1.3010718822479248,3361.736105610561
400-16,400,1.2293338775634766,3398.5151335133514
400-22,400,1.1502728462219238,3361.736105610561
400-24,400,1.2253210544586182,3924.121854185418
400-25,400,1.2363851070404053,5190.5877810699585
400-19,400,1.225750207901001,3762.1941333333334
400-22,400,1.1502728462219238,3361.736105610561
400-24,400,1.2253210544586182,3924.121854185418
400-22,400,1.1502728462219238,3361.736105610561
400-24,400,1.2253210544586182,3924.121854185418
400-16,400,1.2293338775634766,3398.5151335133514